,Neisseria elongata C2011003085,Neisseria elongata subsp. glycolytica 431 NMEN,Neisseria elongata subsp. glycolytica 404 NMEN,Neisseria elongata subsp. elongata ATCC 25295,Neisseria elongata subsp. glycolytica NCTC11050,Neisseria elongata M15910,Neisseria elongata subsp. glycolytica 1279 NMEN,Neisseria elongata C2013018262,Neisseria elongata C2014003241,Neisseria elongata subsp. glycolytica ATCC 29315 ATCC 29315,Neisseria elongata NCTC10660,Neisseria elongata M15911,Kingella potus NCTC13336,Kingella potus 3 SID 1128,Neisseria bacilliformis 203 NMEN,Neisseria bacilliformis 914 NLAC,Neisseria bacilliformis DSM 23338,Neisseria bacilliformis ATCC BAA 1200,Neisseria shayeganii DSM22244,Neisseria shayeganii 871,Eikenella corrodens FDAARGOS 1474,Eikenella corrodens ATCC 23834 ATCC 23834,Eikenella sp. NML03-A-027 NML03-A-027,Eikenella exigua PXX,Eikenella sp. NML96-A-049 NML96-A-049,Eikenella longinqua NML02-A-017,Eikenella sp. NML99-0057 NML99-0057,Eikenella corrodens EI 07,Eikenella sp. NML070372 NML070372,Eikenella sp. NML97-A-109 NML97-A-109,Eikenella sp. NML080894 NML080894,Eikenella sp. HMSC061C02 HMSC061C02,Eikenella halliae NML130454,Eikenella corrodens EI 01,Eikenella sp. NML120348 NML120348,Eikenella sp. HMSC073A11 HMSC073A11,Eikenella corrodens KCOM 1378,Eikenella corrodens NML130388,Eikenella corrodens EI 05,Eikenella corrodens NML04-0072,Eikenella corrodens NML140207,Eikenella corrodens 491 NMEN,Eikenella glucosivorans S3360,Eikenella corrodens NML01-0328,Eikenella corrodens EI 04,Eikenella corrodens NML01-0040,Eikenella corrodens EI 06,Eikenella sp. NML01-A-086 NML01-A-086,Eikenella exigua EI 02,Eikenella corrodens EI 03,Eikenella corrodens EI 08,Eikenella sp. HMSC071B05 HMSC071B05,Eikenella corrodens KCOM 3110,Eikenella corrodens EI 09,Eikenella corrodens NML120819,Eikenella corrodens NCTC10596,Eikenella corrodens CC92I CC92I,Eikenella sp. Marseille-P7795 Marseille-P7795,Kingella sp. CICC 24913 CICC 24913,Conchiformibius kuhniae DSM 17694 DSM 17694,Conchiformibius steedae COT-280,Conchiformibius steedae DSM 2580 DSM 2580,Conchiformibius steedae DSM 2580,Kingella denitrificans GC77,Kingella denitrificans ATCC 33394 ATCC 33394,Kingella denitrificans FDAARGOS 1060,Kingella denitrificans NCTC10995,Kingella bonacorsii Marseille-Q4569,Kingella oralis DSM 18271,Kingella oralis ATCC 51147 ATCC 51147,Alysiella filiformis DSM 16848,Alysiella filiformis DSM 16848 DSM 16848,Simonsiella muelleri ATCC 29453,Simonsiella muelleri DSM 2579,Alysiella crassa S6,Alysiella crassa NCTC10283,Alysiella crassa DSM 2578 DSM 2578,Kingella negevensis kingella eburonensis,Kingella negevensis Pharynx,Kingella negevensis SW7208426,Kingella kingae PV1748 PV1748,Kingella kingae KK113 KK113,Kingella kingae KK245 KK245,Kingella kingae BB114 BB114,Kingella kingae KK274,Kingella kingae NCTC10746,Kingella kingae ATCC 23332,Kingella kingae KK83 KK83,Kingella kingae 11220434 11220434,Kingella kingae KK12 KK12,Kingella kingae KK101 KK101,Kingella kingae KK260 KK260,Kingella kingae KK145 KK145,Kingella kingae KK156 KK156,Kingella kingae KK107 KK107,Kingella kingae KK6 KK6,Kingella kingae AA417 AA417,Kingella kingae KK411 KK411,Kingella kingae KK274 KK274,Kingella kingae KK199 KK199,Kingella kingae KK242 KK242,Kingella kingae CC254 CC254,Kingella kingae KK171 KK171,Kingella kingae KK3 KK3,Kingella kingae Vir5453 Vir5453,Kingella kingae BB631 BB631,Kingella kingae D2363 D2363,Kingella kingae BB060 BB060,Kingella kingae KK60 KK60,Kingella kingae KK88 KK88,Kingella kingae ATCC 23330 ATCC 23330,Kingella kingae 4177 66,Kingella kingae NCTC10529,Kingella kingae KK189 KK189,Kingella kingae KK141 KK141,Kingella kingae KK75 KK75,Kingella kingae AA068 AA068,Kingella kingae KK158 KK158,Kingella kingae KK56 KK56,Kingella kingae AA255 AA255,Kingella kingae AA105 AA105,Kingella kingae KK238 KK238,Kingella kingae BB016 BB016,Kingella kingae KK97 KK97,Kingella kingae KK93 KK93,Kingella kingae KK190 KK190,Kingella kingae KK128 KK128,Kingella kingae ATCC 23331,Kingella kingae PYKK081 PYKK081,Kingella kingae D7330 D7330,Kingella kingae chl4475,Kingella kingae chl3548,Kingella kingae chl2764,Kingella kingae F41215CHC
Eikenella sp. NML120348 NML120348,80.845413,80.419479,80.52002,80.259933,80.573189,80.501785,81.029709,80.708694,80.67749,80.537865,80.271278,80.497177,79.018692,79.002937,79.263412,79.573929,79.793716,79.636169,79.465157,79.51606,85.444534,85.764488,85.880768,91.126663,91.500107,95.946243,95.908188,95.931084,96.085732,95.79612,95.72348,99.351418,99.540001,99.799385,100,92.018463,91.973808,92.691795,92.277557,92.268585,92.221268,92.310577,92.205994,92.17646,92.210922,92.270294,92.106964,92.177521,92.229187,92.23674,92.294174,92.265762,92.221786,92.19548,92.205643,92.25351,92.378242,92.315475,79.37529,77.525803,74,74,74,80.418434,80.212097,80.302399,80.438324,78.508133,78.199982,78.249245,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. HMSC073A11 HMSC073A11,81.812584,81.48983,81.593529,81.713776,81.642014,81.598007,81.429474,81.84079,81.863434,81.837761,81.755058,81.634178,79.123535,79.103134,80.130081,80.006569,80.154312,80.090607,79.79599,79.696716,85.74173,86.359512,86.351089,92.776779,92.813934,92.121185,92.071533,92.08342,91.964539,92.00705,92.040001,92.010674,91.961517,91.92926,92.018463,100,99.956787,94.84642,95.178436,95.362793,95.339142,95.341286,95.28627,95.283752,95.387772,95.34111,95.316833,95.309799,95.296043,95.315475,95.230232,95.359329,95.320198,95.235756,95.387589,95.249649,95.303932,95.2715,79.985039,77.799377,77.158714,77.001328,77.150169,81.371475,81.407639,81.507126,81.42672,78.660217,78.667328,78.632431,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens KCOM 1378,81.743469,81.500946,81.577911,81.845459,81.738396,81.554276,81.517731,81.780716,81.903648,81.800926,81.675964,81.622299,79.123505,79.123482,80.048943,80.070526,80.231537,80.102982,79.778976,79.736237,85.792892,86.423737,86.400864,92.780685,92.848358,92.116005,92.128777,92.116852,91.962715,91.989212,92.038254,91.979744,91.921188,91.892014,91.973808,99.956787,100,94.885971,95.19133,95.32753,95.320419,95.32402,95.263611,95.305374,95.39566,95.361694,95.288696,95.312286,95.265427,95.257477,95.257324,95.360153,95.307304,95.252335,95.340721,95.232635,95.330589,95.297592,79.854729,77.766899,77.208206,77.38031,77.246582,81.235977,81.230942,81.407104,81.363487,78.662384,78.609329,78.612106,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens NML130388,82.031822,81.705711,81.916214,81.81443,81.758087,81.861267,82.016571,81.713913,82.054611,81.876862,81.69072,81.82045,79.223473,79.192795,79.990334,79.829147,79.959831,79.900055,79.771576,79.698639,86.381874,86.78363,86.478722,92.803543,93.171631,92.265396,92.401344,92.304428,92.676056,92.541817,92.502289,92.575615,92.636765,92.6465,92.691795,94.84642,94.885971,100,95.337242,95.529716,95.534317,95.337692,95.44458,95.413956,95.384369,95.49247,95.541061,95.344032,95.44883,95.494781,95.502213,95.443611,95.469086,95.401215,95.350861,95.349609,95.382477,95.339401,79.767715,77.498672,74,77.346115,77.376419,81.259537,81.214951,81.308731,81.113762,78.833611,78.487869,78.532578,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens EI 05,82.125061,81.569603,81.570595,81.777145,81.707092,81.7771,81.863457,81.83815,81.890335,81.825935,81.765442,81.731232,79.177292,79.187416,80.46286,80.124176,80.151245,80.144302,79.758377,79.698334,85.62886,86.445404,86.368561,92.642845,92.853798,92.04187,92.074287,92.010773,92.27652,92.079666,92.071251,92.321991,92.171997,92.199821,92.277557,95.178436,95.19133,95.337242,100,96.020233,95.972504,95.580559,95.869232,95.88382,95.980515,95.932465,95.936691,95.936401,95.913177,95.920868,95.831398,96.002357,95.956421,95.948669,95.976662,95.931908,96.004562,95.928505,79.948128,77.458603,74,74,74,81.530853,81.417328,81.514992,81.489319,78.9589,78.71299,78.644592,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens NML04-0072,82.000824,81.7742,81.862122,81.649826,81.774963,82.134216,81.942596,81.63002,81.762375,81.92411,81.605408,81.643387,79.210693,79.196365,80.090591,80.012955,80.131119,80.095734,79.750587,79.557922,85.992691,86.37912,86.353134,92.827156,93.052689,92.120735,92.129257,92.13382,92.262329,92.014038,92.076431,92.447632,92.15686,92.12262,92.268585,95.362793,95.32753,95.529716,96.020233,100,98.69368,95.749207,96.139069,96.189178,96.179916,96.024071,96.228386,96.107628,96.119858,95.981544,95.863388,96.139679,96.131851,95.978165,96.084335,96.071091,96.048508,96.014862,80.340591,77.746391,74,74,74,80.916054,80.805794,80.930542,80.947113,79.060303,78.571075,78.408981,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens NML140207,81.791138,81.718521,81.80043,81.678452,81.551956,81.626038,81.635895,81.53157,81.845947,81.653725,81.608742,81.722198,79.263641,79.210129,79.805534,79.878464,79.958084,79.887238,79.779968,79.757935,85.804245,86.474335,86.416153,92.787651,93.044861,92.201508,92.135788,92.010178,92.316193,92.025894,92.183975,92.221695,92.206863,92.202286,92.221268,95.339142,95.320419,95.534317,95.972504,98.69368,100,95.704529,96.01989,96.036392,96.106583,95.984131,96.069626,96.125984,96.076492,95.889969,95.850784,96.094147,96.053329,96.03186,95.985847,96.075485,96.088333,96.122131,80.046753,77.402115,77.17202,74,74,81.014565,80.769775,80.826263,80.860184,78.626114,78.400894,78.376068,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens 491 NMEN,82.068253,81.760292,81.770676,81.773453,81.951698,81.800064,81.830147,81.734528,81.886971,82.059166,81.836151,81.854019,79.151733,79.117126,80.113632,80.036713,79.955338,79.973969,79.805931,79.772919,85.729126,86.33313,86.435699,92.865967,92.835503,92.163589,92.078201,92.174789,92.315872,92.004089,92.109665,92.381592,92.231857,92.213501,92.310577,95.341286,95.32402,95.337692,95.580559,95.749207,95.704529,100,95.704666,95.653198,95.707123,95.644608,95.599709,95.628853,95.741074,95.601158,95.54834,95.79747,95.705292,95.681244,95.700516,95.667969,95.657257,95.685715,80.137756,77.544373,74,74,74,81.219124,81.290039,81.545364,81.510849,78.781921,78.683571,78.682549,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella glucosivorans S3360,82.070473,81.6241,81.793068,81.605392,81.877075,81.70697,81.631317,81.642685,81.896759,81.820168,81.752655,81.60067,79.276573,79.191406,80.128426,79.913406,80.157883,80.058228,79.668091,79.632141,85.839615,86.337524,86.30423,92.748962,93.119827,92.132858,92.180687,92.052376,92.300896,92.061752,92.155685,92.189758,92.200241,92.271187,92.205994,95.28627,95.263611,95.44458,95.869232,96.139069,96.01989,95.704666,100,97.353729,97.196762,96.899689,96.972237,97.055969,96.744965,96.711548,96.77079,96.753326,96.698578,96.55307,96.617966,96.568985,96.596802,96.576248,80.015961,77.649109,74,77.555191,77.2995,81.227501,81.379684,81.536835,81.543236,78.472809,78.426361,78.452522,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens NML01-0328,81.784729,81.656021,81.779915,81.629684,81.635956,81.837173,81.774094,81.872429,81.731979,81.603516,81.600403,81.606834,79.326729,79.229218,80.305298,79.981697,79.969971,79.923119,79.781265,79.669518,86.198196,86.786415,86.218033,92.754242,93.007248,92.14563,92.134384,92.087982,92.173737,92.141083,92.160507,92.20282,92.132187,92.186066,92.17646,95.283752,95.305374,95.413956,95.88382,96.189178,96.036392,95.653198,97.353729,100,97.944321,97.820831,97.956764,97.411331,97.151123,96.972748,96.887474,97.011299,96.943779,96.719498,96.927048,96.790237,96.823456,96.788193,79.908371,77.62397,74,74,77.521523,81.459656,81.376846,81.505005,81.601479,78.913803,78.531464,78.424179,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens EI 04,82.294983,81.815689,81.936493,81.975357,82.107018,82.160652,82.025261,81.876923,82.012695,82.183197,81.884285,81.8638,79.245186,79.181137,80.303223,80.089989,80.138275,80.110107,79.932472,79.85051,85.803375,86.256332,86.360046,92.845093,93.08461,92.200508,92.178085,92.082336,92.343719,92.0728,92.117508,92.318993,92.227219,92.232422,92.210922,95.387772,95.39566,95.384369,95.980515,96.179916,96.106583,95.707123,97.196762,97.944321,100,97.634293,97.933159,97.497421,97.256958,97.040192,97.029243,97.036728,97.098145,96.96344,97.108734,96.941971,96.973648,96.968712,80.131287,77.507858,77.173882,77.403931,77.224594,81.182953,81.248634,81.509262,81.272827,79.093903,78.591843,78.597168,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens NML01-0040,81.997726,81.919479,81.912552,81.804276,82.219116,82.080643,81.892166,82.057861,81.861801,82.202805,81.919319,81.925217,79.273788,79.20491,80.177025,80.127258,80.232422,80.116425,79.782669,79.672272,86.536087,86.816917,86.287338,92.707672,92.833115,92.259872,92.141815,92.145287,92.255699,92.060898,92.229134,92.270523,92.148132,92.172791,92.270294,95.34111,95.361694,95.49247,95.932465,96.024071,95.984131,95.644608,96.899689,97.820831,97.634293,100,97.47493,97.609955,97.530205,97.207123,97.137741,97.272781,97.458176,97.274963,97.285309,97.303497,97.286552,97.231308,79.994598,77.621071,74,77.481903,77.46312,81.297989,81.694077,81.714569,81.784943,79.225494,78.597252,78.455536,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens EI 06,82.26519,81.797737,82.008377,81.737015,82.216232,82.094139,81.8125,82.381149,82.020142,82.189865,81.817375,81.920074,79.219986,79.106377,80.265755,79.981041,80.017746,79.880371,79.774971,79.770752,86.198967,86.675034,86.379333,92.662415,92.858795,92.130707,92.100914,92.044556,92.075699,92.040207,92.074738,92.166794,92.191643,92.219711,92.106964,95.316833,95.288696,95.541061,95.936691,96.228386,96.069626,95.599709,96.972237,97.956764,97.933159,97.47493,100,97.573265,97.075211,97.04039,96.946686,96.931519,96.986008,96.80751,96.985237,96.743942,96.768387,96.762459,80.059517,77.525925,74,74,77.320465,81.580376,81.361832,81.460205,81.36615,78.81665,78.55146,78.545547,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. NML01-A-086 NML01-A-086,81.903915,81.726151,81.711197,81.720383,81.842789,81.81575,81.627884,81.783905,81.863503,81.948822,81.73304,81.730743,79.27285,79.1819,80.214836,80.167412,80.056084,80.119888,79.838028,79.759674,85.747284,86.275177,86.376999,92.752632,93.140503,92.161789,92.13829,92.02655,92.27092,92.122971,92.205673,92.260559,92.252045,92.191063,92.177521,95.309799,95.312286,95.344032,95.936401,96.107628,96.125984,95.628853,97.055969,97.411331,97.497421,97.609955,97.573265,100,97.317307,97.229836,97.199249,97.241486,97.195526,97.142815,97.174194,97.15625,97.167572,97.216118,80.014389,77.720718,74,77.51767,77.377045,81.146881,81.012329,81.255569,81.125381,78.865341,78.636345,78.625008,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella exigua EI 02,81.994011,81.631187,81.771103,81.6474,81.990341,81.925819,81.805717,81.89193,81.935349,82.118469,81.521347,81.524475,79.13623,79.117447,80.248222,80.096786,80.560287,80.519043,79.842972,79.687103,85.55484,86.468994,86.323997,92.752357,93.112061,92.140533,92.102615,92.07312,92.196007,92.0858,92.110222,92.196762,92.156952,92.217377,92.229187,95.296043,95.265427,95.44883,95.913177,96.119858,96.076492,95.741074,96.744965,97.151123,97.256958,97.530205,97.075211,97.317307,100,97.506332,97.376663,97.510452,97.880508,97.800247,97.588364,97.546478,97.519333,97.538971,79.856186,77.487701,77.231117,77.422653,77.332718,81.175774,81.431145,81.57766,81.663239,79.093094,78.67276,78.677032,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens EI 03,82.144386,81.751434,81.797142,81.66716,81.86087,82.024963,81.788094,82.322731,82.069283,81.998856,81.625717,81.597351,79.129623,79.026993,80.232971,79.985001,80.071976,79.966858,79.6539,79.601257,86.110748,86.749512,86.440292,92.749611,92.938187,92.12207,92.129723,92.049889,92.187584,92.083649,92.03389,92.348976,92.237526,92.23407,92.23674,95.315475,95.257477,95.494781,95.920868,95.981544,95.889969,95.601158,96.711548,96.972748,97.040192,97.207123,97.04039,97.229836,97.506332,100,99.669746,97.540497,97.653229,97.560211,97.33696,97.289696,97.380791,97.398834,80.061676,77.52626,74,74,74,81.20224,81.525452,81.638,81.610443,78.965546,78.557808,78.499557,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens EI 08,82.093201,81.732529,81.825851,81.609596,81.841827,81.938293,82.331108,82.181007,81.875015,81.988861,81.637848,81.601021,79.179367,79.079666,80.176498,79.940598,79.988541,80.074677,79.7285,79.723526,86.038712,86.677643,86.310104,92.618256,93.044235,92.091064,92.168137,92.070335,92.157074,92.129272,92.014534,92.218399,92.337799,92.237679,92.294174,95.230232,95.257324,95.502213,95.831398,95.863388,95.850784,95.54834,96.77079,96.887474,97.029243,97.137741,96.946686,97.199249,97.376663,99.669746,100,97.453354,97.529892,97.434303,97.238235,97.406227,97.401489,97.357315,80.036804,77.56839,74,74,74,81.302094,81.43116,81.624069,81.572159,78.91925,78.602394,78.576401,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. HMSC071B05 HMSC071B05,81.977478,81.914261,81.984833,81.748108,82.011909,81.823624,81.692139,82.000946,81.753998,81.967941,81.671883,81.760941,79.093185,79.107513,80.153618,80.037285,79.979919,79.970215,79.688591,79.767761,86.028458,86.315491,86.464348,92.867203,93.083267,92.131134,92.158722,92.089828,92.356689,92.168472,92.363327,92.22361,92.203087,92.190506,92.265762,95.359329,95.360153,95.443611,96.002357,96.139679,96.094147,95.79747,96.753326,97.011299,97.036728,97.272781,96.931519,97.241486,97.510452,97.540497,97.453354,100,98.375427,98.075638,97.515198,97.998817,97.968498,97.997246,80.122795,77.630127,74,74,77.17083,81.287201,81.120575,81.242218,81.189438,78.469147,78.340126,78.280647,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens KCOM 3110,82.225189,81.825043,81.896851,81.904984,82.029594,82.256577,81.667732,81.89386,81.947174,82.005875,81.958099,81.95005,79.237717,79.301636,80.204468,80.112488,80.419365,80.191895,79.724792,79.711517,85.566849,86.384621,86.279594,92.755058,92.870102,92.219292,92.177101,92.034538,92.1698,92.097313,92.131073,92.254562,92.084679,92.097168,92.221786,95.320198,95.307304,95.469086,95.956421,96.131851,96.053329,95.705292,96.698578,96.943779,97.098145,97.458176,96.986008,97.195526,97.880508,97.653229,97.529892,98.375427,100,99.150833,97.648666,97.96109,97.945389,97.953979,79.892097,77.540688,74,77.749214,77.542831,81.349464,81.302658,81.63588,81.751801,79.172554,78.579376,78.485504,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens EI 09,82.229599,81.691528,81.710052,81.801857,81.985748,82.172745,82.370529,81.816231,82.11412,82.114197,81.707954,81.709137,79.186226,79.10218,80.416603,80.002632,80.463531,80.321945,79.571823,79.660812,85.936546,86.38707,86.34729,92.60434,93.051208,92.055008,92.092117,92.035324,92.22757,92.117981,92.104416,92.169243,92.163261,92.279678,92.19548,95.235756,95.252335,95.401215,95.948669,95.978165,96.03186,95.681244,96.55307,96.719498,96.96344,97.274963,96.80751,97.142815,97.800247,97.560211,97.434303,98.075638,99.150833,100,97.542465,97.718796,97.749542,97.703278,80.038261,77.549606,74,74,74,81.151634,81.219147,81.444458,81.464874,79.105392,78.650574,78.637253,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens NML120819,81.933464,82.068878,82.07869,81.575348,81.709534,81.888321,81.897141,81.626328,81.761017,81.819977,81.505615,81.634354,79.124878,79.068878,79.997765,80.134293,80.226517,80.227524,79.849594,79.668427,85.756218,86.365715,86.328918,92.648819,93.06987,92.040787,92.101509,91.974487,92.162476,92.107674,92.087234,92.276382,92.123436,92.127312,92.205643,95.387589,95.340721,95.350861,95.976662,96.084335,95.985847,95.700516,96.617966,96.927048,97.108734,97.285309,96.985237,97.174194,97.588364,97.33696,97.238235,97.515198,97.648666,97.542465,100,99.00058,99.002563,98.975319,80.033401,77.652939,74,77.461449,74,81.036,81.187935,81.27224,81.199394,78.996689,78.472443,78.431808,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens NCTC10596,81.975639,81.976944,82.067932,81.869034,82.216522,82.051529,81.900101,81.909447,81.88533,82.156723,82.001495,82.046776,79.186592,79.246643,80.10656,80.040634,80.346214,80.209892,79.845032,79.755676,85.485046,86.202812,86.210449,92.741928,93.009003,92.074478,92.106232,92.134506,92.236084,92.146973,92.123169,92.292351,92.235283,92.314125,92.25351,95.249649,95.232635,95.349609,95.931908,96.071091,96.075485,95.667969,96.568985,96.790237,96.941971,97.303497,96.743942,97.15625,97.546478,97.289696,97.406227,97.998817,97.96109,97.718796,99.00058,100,99.919388,99.999695,80.070717,77.719704,74,77.692154,77.688171,81.125366,81.139847,81.568039,81.559937,79.001579,78.758194,78.686737,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella corrodens CC92I CC92I,81.790504,81.766968,81.901169,81.79097,82.009003,81.796051,81.857742,81.593124,81.686127,81.886536,81.666008,81.761719,79.160767,79.261948,80.019302,80.160568,80.169525,80.175552,79.815598,79.684021,85.692299,86.181931,86.332428,92.810135,93.077133,92.124435,92.107773,92.083771,92.276131,92.208618,92.208481,92.361534,92.352081,92.322395,92.378242,95.303932,95.330589,95.382477,96.004562,96.048508,96.088333,95.657257,96.596802,96.823456,96.973648,97.286552,96.768387,97.167572,97.519333,97.380791,97.401489,97.968498,97.945389,97.749542,99.002563,99.919388,100,99.928391,79.911377,77.73597,74,77.457458,77.127739,81.093185,81.21566,81.30912,81.204803,78.698441,78.523705,78.516251,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Eikenella sp. Marseille-P7795 Marseille-P7795,81.863968,81.930725,81.983994,81.940674,82.196487,82.064514,81.981323,81.924973,81.893143,82.062271,82.005692,82.051468,79.323006,79.38044,80.111374,80.072739,80.330307,80.117416,79.80407,79.708275,85.557076,86.24929,86.399109,92.757339,93.04863,92.099014,92.120338,92.125801,92.314186,92.182175,92.15451,92.256256,92.231216,92.257637,92.315475,95.2715,95.297592,95.339401,95.928505,96.014862,96.122131,95.685715,96.576248,96.788193,96.968712,97.231308,96.762459,97.216118,97.538971,97.398834,97.357315,97.997246,97.953979,97.703278,98.975319,99.999695,99.928391,100,79.98243,77.649269,74,77.651527,77.647301,81.179764,81.289246,81.617157,81.543732,78.984222,78.754181,78.691437,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
